dr_no,date_rptd,date_occ,time_occ,hour,day_of_week,month,year,is_weekend,area_name,crm_cd_desc,vict_age,vict_sex,weapon_desc,status_desc,lat,lon
210113806,2021-07-20,2021-07-20,1325,13,Tuesday,7,2021,0,Central,BATTERY WITH SEXUAL CONTACT,16,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,34.0363,-118.2573
200408243,2020-04-27,2020-04-24,2300,23,Friday,4,2020,0,Hollenbeck,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",30,F,HAND GUN,Invest Cont,34.0409,-118.2234
202010894,2020-06-14,2020-06-13,130,1,Saturday,6,2020,1,Olympic,SHOTS FIRED AT INHABITED DWELLING,28,F,UNKNOWN FIREARM,Invest Cont,34.0598,-118.2987
220515556,2022-11-02,2022-11-01,1700,17,Tuesday,11,2022,0,Harbor,BURGLARY FROM VEHICLE,0,X,,Invest Cont,33.7613,-118.2819
221815438,2022-08-08,2022-08-08,720,7,Monday,8,2022,0,Southeast,BATTERY - SIMPLE ASSAULT,35,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,33.9401,-118.2761
240109566,2024-03-26,2024-03-24,2200,22,Sunday,3,2024,1,Central,VEHICLE - STOLEN,0,,,Invest Cont,34.0545,-118.2499
232016669,2023-10-15,2023-10-15,1300,13,Sunday,10,2023,1,Olympic,BRANDISH WEAPON,63,F,VERBAL THREAT,Invest Cont,34.0454,-118.3061
242104842,2024-01-22,2024-01-22,20,0,Monday,1,2024,0,Topanga,INTIMATE PARTNER - SIMPLE ASSAULT,38,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,34.1898,-118.6426
201711620,2020-07-27,2020-07-27,1920,19,Monday,7,2020,0,Devonshire,TRESPASSING,40,M,,Adult Arrest,34.2246,-118.5754
200811119,2020-06-25,2020-06-25,1655,16,Thursday,6,2020,0,West LA,BATTERY - SIMPLE ASSAULT,65,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.0466,-118.4472
230711176,2023-06-22,2023-06-21,2045,20,Wednesday,6,2023,0,Wilshire,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",32,F,,Invest Cont,34.0624,-118.351
232004021,2022-12-31,2022-07-11,1705,17,Monday,7,2022,0,Olympic,THEFT PLAIN - PETTY ($950 & UNDER),32,M,,Adult Other,34.0727,-118.2942
221206381,2022-02-14,2022-02-13,2030,20,Sunday,2,2022,1,77th Street,VEHICLE - STOLEN,0,,,Invest Cont,33.9754,-118.2944
231513262,2023-08-08,2023-08-08,45,0,Tuesday,8,2023,0,N Hollywood,INTIMATE PARTNER - SIMPLE ASSAULT,54,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,34.1371,-118.3668
201820237,2020-11-08,2020-11-08,1640,16,Sunday,11,2020,1,Southeast,VIOLATION OF RESTRAINING ORDER,51,F,,Invest Cont,33.9399,-118.2908
231820145,2023-11-30,2023-08-01,1,0,Tuesday,8,2023,0,Southeast,THEFT PLAIN - PETTY ($950 & UNDER),39,F,,Invest Cont,33.9521,-118.2565
221904392,2022-01-10,2022-01-07,530,5,Friday,1,2022,0,Mission,VEHICLE - ATTEMPT STOLEN,27,M,,Invest Cont,34.2331,-118.4409
241312949,2024-09-11,2024-09-07,903,9,Saturday,9,2024,1,Newton,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",47,M,,Invest Cont,34.0082,-118.2716
201806479,2020-02-12,2020-02-12,1130,11,Wednesday,2,2020,0,Southeast,THEFT PLAIN - PETTY ($950 & UNDER),21,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,33.9378,-118.2542
